symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
6552,,,,,0,0,1,-13000,0,28000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6558,,,,,10,0,0,11000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6573,,,,,0,0,1,-133000,0,31000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6579,,,,,0,3,1,-223000,2000,16000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6581,,,,,2,0,1,7000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6582,,,,,5,0,1,18000,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6585,,,,,1,2,0,9000,1000,-1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6589,,,,,0,0,1,-190000,0,4467,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6591,,,,,3,0,0,72000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6592,,,,,2,0,2,310427,0,17933,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6598,,,,,1,0,0,171500,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6605,,,,,6,3,6,418385,2000,5680,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6606,,,,,1,0,1,14000,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6614,,,,,0,0,1,-7000,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6625,,,,,3,0,0,7209,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6641,,,,,2,0,1,4000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6645,,,,,1,0,4,15000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6655,,,,,6,0,0,2000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6657,,,,,0,0,1,-18000,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6658,,,,,0,0,1,-75821,0,13130,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6666,,,,,0,0,0,0,0,0,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6668,,,,,1,0,0,304292,0,0,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6669,,,,,0,6,1,-198975,347947,10767,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6670,,,,,0,1,0,-354000,12000,-1542,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6671,,,,,1,0,1,1000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6672,,,,,0,2,1,-623780,4000,153357,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6674,,,,,3,0,1,17000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6689,,,,,1,0,2,22020,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6691,,,,,0,3,2,-206964,13000,1462,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6695,,,,,1,0,1,16270,0,8800,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6698,,,,,1,0,1,1000,0,33000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6706,,,,,0,0,1,-27206,0,27304,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6715,,,,,0,0,1,-153000,0,4866,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6719,,,,,0,4,1,-465106,10000,33179,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6722,,,,,1,0,2,9000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6742,,,,,1,0,0,125000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6743,,,,,0,0,1,-142000,0,2000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6753,,,,,0,0,1,-72216,0,147158,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6754,,,,,1,0,1,1000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6756,,,,,2,0,1,50000,0,9000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6757,,,,,4,0,3,2033689,0,82304,2026-07-31,TWSE T86 official,official-only,,,40.4,40.4
6768,,,,,5,0,1,53020,0,5582,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6770,0.0,16572,7,2,0,0,1,-3877609,0,646972,2026-07-30,TWSE T86 official + HiStock branch,official+broker,美商高盛、台灣摩根士丹利、凱基-城中、亞東、富邦-羅東、新光、兆豐-虎尾、富邦-桃園、國票、兆豐-松德,美商高盛,0.0,0.0
6771,,,,,6,0,0,8000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6776,,,,,2,0,0,121000,0,-1014,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6781,,,,,1,1,1,52788,10000,39905,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6782,,,,,3,0,3,81134,0,2113,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6789,,,,,1,5,2,135477,5000,38595,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
